movieCd,link,image,userRating
20181181,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154222,https://ssl.pstatic.net/imgmovie/mdi/mit110/1542/154222_P07_114856.jpg,9.12
20183361,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136990,https://ssl.pstatic.net/imgmovie/mdi/mit110/1369/136990_P27_140604.jpg,9.23
20170942,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109906,https://ssl.pstatic.net/imgmovie/mdi/mit110/1099/109906_P00_103901.jpg,3.85
20185242,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174805,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174805_P12_100714.jpg,8.72
20180522,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144330,https://ssl.pstatic.net/imgmovie/mdi/mit110/1443/144330_P05_110325.jpg,8.62
20185341,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175322,https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175322_P98_135944.jpg,8.18
20186121,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172174,https://ssl.pstatic.net/imgmovie/mdi/mit110/1721/172174_P20_110537.jpg,9.21
20186001,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172344,https://ssl.pstatic.net/imgmovie/mdi/mit110/1723/172344_P10_103439.jpg,8.38
20175221,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152694,https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152694_P17_101815.jpg,6.90
20186202,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167697,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167697_P01_113354.jpg,7.71
20186501,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175727,https://ssl.pstatic.net/imgmovie/mdi/mit110/1757/175727_P08_154401.jpg,9.23
20181942,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164115,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164115_P50_104521.jpg,8.96
20179044,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154223,https://ssl.pstatic.net/imgmovie/mdi/mit110/1542/154223_P15_095523.jpg,7.63
20179101,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153687,https://ssl.pstatic.net/imgmovie/mdi/mit110/1536/153687_P54_102718.jpg,6.85
20184802,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169643,https://ssl.pstatic.net/imgmovie/mdi/mit110/1696/169643_P26_103310.jpg,8.59
20187427,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173019,https://ssl.pstatic.net/imgmovie/mdi/mit110/1730/173019_P30_150613.jpg,9.07
20170670,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169015,https://ssl.pstatic.net/imgmovie/mdi/mit110/1690/169015_P29_104430.jpg,4.86
